identifier,name
14679,Gnai3
12544,Cdc45
14955,H19
107815,Scml2
11818,Apoh
67608,Narf
12390,Cav2
23849,Klf6
29871,Scmh1
12858,Cox5a
21385,Tbx2
21387,Tbx4
18053,Ngfr
22415,Wnt3
216795,Wnt9a
14158,Fer
74204,Xpo6
209446,Tfe3
12006,Axin2
231841,Brat1
14673,Gna12
18400,Slc22a18
72614,Pih1d2
235339,Dlat
66925,Sdhd
64654,Fgf23
14177,Fgf6
12444,Ccnd2
277463,Gpr107
338370,Nalcn
72014,Btbd17
20558,Slfn4
21823,Th
13497,Drp2
27027,Tspan32
16870,Lhx2
66355,Gmpr
23947,Mid2
217069,Trim25
56077,Dgke
74617,Scpep1
17428,Mnt
16414,Itgb2
69692,Hddc2
21987,Tpd52l1
18618,Pemt
12550,Cdh1
12561,Cdh4
12716,Ckmt1
12029,Bcl6b
17312,Clec10a
11684,Alox12
,
12846,Comt
66368,Rtca
13171,Dbt
23994,Dazap2
68995,Mcts1
19700,Rem1
30054,Rnf17
216131,Trappc10
216527,Ccm2
21379,Tbrg4
50528,Tmprss2
17857,Mx1
14089,Fap
66108,Ndufa9
54156,Egfl6
16818,Lck
30785,Cttnbp2
14423,Galnt1
17877,Myf5
67027,Mkrn2
19016,Pparg
110157,Raf1
54204|100043580,Septin1|Gm4532
18591,Pdgfb
11482,Acvrl1
56149,Tamalin
11479,Acvr1b
216810,Tom1l2
29813,Zfp385a
16402,Itga5
14395,Gabra2
70465,Wdr77
11542|69296,Adora3|Tmigd3
11950,Atp5pb
20682,Sox9
11991,Hnrnpd
100040563,Dynlt1c
57316,C1d
14667,Gm2a
79264,Krit1
12727,Clcn4
20355,Sema4f
15277,Hk2
360013,Myo18a
20370,Sez6
107766,Haao
23833,Cd52
67477,Abhd15
15414,Hoxb6
16950,Loxl3
18519,Kat2b
19344,Rab5b
50723,Icosl
234847,Spg7
57429,Sult5a1
270106,Rpl13
234852,Chmp1a
68275,Rpa1
20317,Serpinf1
259279,Tubgcp3
67065,Polr3d
21414,Tcf7
13205,Ddx3x
114479,Slc5a5
140493,Kcnn3
237898,Usp32
12351,Car4
232223,Txnrd3
269401,Zfp512b
13002,Dnajc5
66314,Tpd52l2
14265,Fmr1
14025,Bcl11a
59038,Pxmp4
53310,Dlg3
13972,Gnb1l
13166,Dbh
17385,Mmp11
20587,Smarcb1
22364,Vpreb3
29816,Hip1r
100609,Nsun5
72960,Top1mt
15395,Hoxa10
15401,Hoxa4
17387,Mmp14
20540,Slc7a7
69089,Oxa1l
217026,Heatr6
78369,Icam4
67781,Ilf2
66511,Chtop
20615,Snapin
20198,S100a4
20199,S100a5
20200,S100a6
110880,Scn4a
15896,Icam2
23939,Mapk7
13855,Epn2
27078,B9d1
99683,Sec24b
212706,N4bp3
66089,Rmnd5b
52530,Nhp2
72325,Vps9d1
57247,Zfp276
68294,Mfsd10
269593,Luzp1
330171,Kctd10
67811,Poldip2
55978,Ift20
12833,Col6a1
59093,Pcbp3
16859,Lgals9
11836,Araf
18636,Cfp
21857,Timp1
22294,Uxt
94218,Cnnm3
214895,Lman2l
54387,Mcm3ap
18541,Pcnt
17119,Mxd1
23885,Gmcl1
66618,Snrnp27
114643,Oas1c
320634,Ocrl
12313,Calm1
28169,Agpat3
20359,Sema6b
18140,Uhrf1
224897,Dpp9
54409,Ramp2
54135,Lsr
52857,Gramd1a
15451,Hpn
14405,Gabrg1
12709,Ckb
20683,Sp1
16421,Itgb7
60315,Myg1
19411,Rarg
56612,Pfdn5
13642,Efnb2
67223,Rrp15
11858,Rnd2
27364,Srr
68828,Sync
384061,Fndc5
11433,Acp5
12797,Cnn1
71538,Fbxo9
73288,Vps50
15115,Hars
66492,Zmat2
68612,Ube2c
229512,Smg5
12462,Cct3
56700,Glmp
17261,Mef2d
71913,Tmem79
56463,Snd1
12822,Col18a1
20509,Slc19a1
16211,Kpnb1
19155,Npepps
57765,Tbx21
107732,Mrpl10
13121,Cyp51
66855,Tcf25
67951,Tubb6
23854,Def8
17285,Meox1
74499,Sost
18511,Pax9
16372,Irx2
12842,Col1a1
16400,Itga3
20391,Sgca
13393,Dlx3
14235,Foxm1
101142,Itfg2
60345,Nrip2
22158,Tulp3
14885,Gtf2h4
22154,Tubb5
192657,Ell2
16480,Jup
14230,Fkbp10
66720,Klhl10
433864,Nom1
67458,Ergic1
83813,Tnk1
216859,Acap1
21401,Tcea3
15982,Ifrd1
232533,Stk38l
78783,Brpf1
11677,Akr1b3
109663,Hoxc11
15426,Hoxc8
15425,Hoxc6
14871,Gstt1
103140,Gstt3
13202,Ddt
234724,Tat
73608,Marveld3
66942,Ddx18
24109,Ubl3
107022,Gramd3
66143,Eef1e1
11651,Akt1
60363,Cldn15
16170,Il16
27060,Tcirg1
27419,Naglu
71743,Coasy
319757,Smo
232670,Tspan33
66877,Crnkl1
74030|408057,Rin2|BC039771
53320,Folh1
66917,Chordc1
28088,Rtcb
103136,Pwp1
69754,Fbxo7
12336,Capns1
435965,Lrp3
14275,Folr1
20480,Clpb
235072,Septin7
72881,Zdhhc4
19353,Rac1
227720,Nup214
108897,Aif1l
12873,Cpa3
268977,Ltbp1
216558,Ugp2
212528,Trmt1
66830,Nacc1
18032,Nfix
20514,Slc1a5
22201,Uba1
22371,Vwf
22619,Siae
57276,Vsig2
69524,Esam
20686,Spa17
108160,Fam50a
13726,Emd
70207,Taco1
14807,Grik3
53623,Gria3
244668,Sipa1l2
108011,Ap4e1
109778,Blvra
245469,Pdzd4
56504,Srpk3
15929,Idh3g
93843,Pnck
20832,Ssr4
27061,Bcap31
72722,Fam98a
16997,Ltbp2
214162,Kmt2a
76568,Ift46
71687,Tmem25
12502,Cd3g
67091,Trappc6a
20926,Supt6
54141,Spag5
22248,Unc119
19376,Rab34
20316,Sdf2
12447,Ccne1
74377,Hsf2bp
170770,Bbc3
19182,Psmc3
11432,Acp2
19400,Rapsn
68427,Slc39a13
14007,Celf2
22259,Nr1h3
107986,Ddb2
20375,Spi1
67465,Sf3a1
20852,Stat6
16541,Napsa
101568,Vrk3
71997,Smg9
55982,Paxip1
68477,Rmnd5a
17454,Mov10
71887,Ppm1j
11853,Rhoc
21678,Tead3
19015|69050,Ppard|1810013A23Rik
23853,Def6
18616,Peg3
22776,Zim1
70083,Metrn
76483,Lmf1
67563,Ciao3
57875,Angptl4
27214,Dbf4
13163,Daxx
54219,Cd320
75751,Ipo4
74140,Tm9sf1
56739,Rec8
16391,Irf9
105446,Gmpr2
67881,Mdp1
52585,Dhrs1
13004,Ncan
234371,Tmem161a
76813,Armc6
72368,Borcs8
73095,Slc25a42
66616,Snx9
71810,Ranbp3
69875,Ndufa11
13864,Nr2f6
67023,Use1
77090,Ocel1
13549,Dyrk1b
109880,Braf
68198,Ndufb2
20585,Hltf
68879,Prpf6
56470,Rgs19
58175,Rgs20
106861,Abhd3
20641,Snrpd1
77832,Tchp
21844,Tiam1
22084,Tsc2
66211,Rpl3l
65962,Slc9a3r2
67959,Puf60
99412,Golga2
22245,Uck1
20259,Scin
22781,Ikzf4
103742,Mien1
18979,Pon1
26362,Axl
21803,Tgfb1
52132,Ccdc97
22700,Zfp40
54194,Akap8l
20423,Shh
68079,Pdcd2l
98053,Gtf2f1
53895,Clpp
66400,Alkbh7
70785,Dennd1c
69792,Med6
18760,Prkd1
16822,Lcp2
110750,Cse1l
67877,Naa20
23992,Prkra
14231,Fkbp7
83435,Plekha3
56418,Ykt6
22385,Baz1b
224824,Pex6
27398,Mrpl2
17256,Mea1
14711,Gnmt
14814,Grin2d
68137,Kdelr1
70209,Tmem143
110175,Ggct
16450,Jag2
399566,Btbd6
66174,Nudt14
105298,Epdr1
14248,Flii
21975,Top3a
235040,Atg4d
60507,Qtrt1
57435,Plin4
15193,Hdgfl2
27221,Chaf1a
11544,Adprh
67846,Tmem39a
76916,Timmdc1
85031,Pla1a
17216,Mcm2
24100,Tpra1
17936,Nab1
26364,Adgre5
16172,Il17ra
16777,Lamb1
84036,Kcnn1
70807,Arrdc2
12491,Cd36
26400,Map2k7
21856,Timm44
11772,Ap2a2
59047,Pnkp
75613,Med25
57278,Bcam
56457,Clptm1
19698,Relb
53333,Tomm40
11816,Apoe
11813,Apoc2
73389,Hbp1
19088,Prkar2b
12576,Cdkn1b
16600,Klf4
11767,Ap1m1
17274,Rab8a
15331,Hmgn2
67922,Fam32a
13710,Elf3
76205,Stard3nl
20869,Stk11
13637,Efna2
66043,Atp5d
19060,Ppp5c
69131,Cdk12
16890,Lipe
18475,Pafah1b2
54610,Tbc1d8
52846,Cnot11
20527,Slc2a3
