from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,14679,0.00975889,0.220241994,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12858,0.037979838,0.168719636,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14673,2.36e-07,0.260671789,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,235339,0.039762951,0.169112088,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16414,0.012593829,0.640501832,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19016,0.026282612,0.570447385,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18591,0.001472857,0.420511699,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16402,9.39e-10,0.67694108,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11950,0.018977019,0.15979927,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20682,0.004154881,0.399485459,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,79264,0.000142644,0.224417826,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12727,0.023223398,0.138060772,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,360013,0.036230029,0.258911667,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16950,0.028865325,0.436269067,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20317,0.036230029,0.419074346,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13205,0.037083953,0.243994382,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,,0.018338247,0.747450675,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17387,0.000274152,0.301339323,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,269593,9.23e-08,0.329289714,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12833,0.042604302,0.40818723,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16859,4.34e-05,0.66001212,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18636,0.004981645,0.657177462,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21857,0.000360815,1.297732698,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18140,0.004875028,1.072745152,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68828,0.002055904,0.232632662,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,384061,2.33e-16,0.704514436,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16211,0.000161866,0.158593431,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19155,1.15e-06,0.294419408,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67951,1.22e-11,0.915448086,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17285,0.003518257,0.720888061,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22154,1.84e-07,0.363510677,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67458,0.04810334,0.146634189,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15982,0.002934597,0.881438154,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,107022,0.005038157,0.34269703,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11651,0.031898016,0.206899859,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,235072,0.044273649,0.252173067,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12873,0.002705721,0.673625804,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,216558,0.005580945,0.279887823,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66830,1.6e-06,0.352250335,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,244668,8.98e-11,0.48030233,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16997,0.02383872,1.070989791,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,54141,0.012163245,0.636791881,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74377,0.019224743,1.216711717,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67465,1.26e-05,0.277825733,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16541,0.028565444,0.930427225,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11853,0.000843493,0.348243435,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56739,0.046532911,0.744836515,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21803,8.49e-05,0.666034779,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,98053,0.048976777,0.164455794,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66400,0.025387029,0.216812241,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,26364,0.017905701,0.192912418,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16777,0.000132671,0.46375109,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19698,0.021211183,0.276510608,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15331,0.020686214,0.230761013,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13544,0.000842165,0.193044295,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66120,0.035366556,1.178302454,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12922,5.84e-07,0.382212211,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14282,4.97e-06,2.428215362,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19348,0.008597309,0.825150252,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17776,0.017798438,0.185290003,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70186,0.022791032,0.164198625,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,240843,0.006845813,0.804668291,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68312,1.35e-07,0.740939648,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,53867,0.047597474,0.624246168,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16795,0.023098181,0.226465294,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14389,0.043807469,0.313310387,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12798,0.006090719,0.656064977,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,79221,0.002234406,0.484688,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67900,0.000485944,0.302591189,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18505,0.012728499,0.653916454,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18008,5.56e-12,0.69944921,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15507,0.020456659,0.461256988,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,23921,1.4e-05,0.744551923,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22388,5.5e-19,0.750394872,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12224,0.048921886,0.227644643,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21672,0.022326521,0.194999337,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20415,0.019624203,1.497884687,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66442,0.011079074,1.520171056,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17218,0.037109348,0.550803684,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68278,0.003417683,0.242498497,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,81489,0.010052373,0.410356798,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17768,0.017323932,0.303552787,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11717,0.035322512,0.189426877,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22785,0.000151536,0.294089871,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66409,0.043253642,0.137028451,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71382,0.024663309,0.31343371,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,96875,0.011099696,0.960544274,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,29818,0.003916721,0.980793463,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13859,0.025646073,0.179429686,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,107995,0.034622048,1.166439162,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,240913,6.5e-17,1.841424857,spaceflight_v_ground_control,spaceflight,ground_control
