from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-98,Q9D7Y7,9.24e-08,3.42,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q05117,0.0449,1.68,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q91X79,0.000543,3.37,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,P05208,0.000315,3.6,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q3UP47,0.00178,2.23,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q99KN2,0.017,3.13,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q7TPZ8,0.0109,3.3,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,P15089,0.00817,2.04,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,B2RS76,0.00288,3.26,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q9CR35,0.00102,3.7,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q9ER05,0.0151,2.85,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,D3Z512,0.000647,2.9,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q91W97,0.000331,4.04,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q920D3,0.0182,1.99,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q4FZE8,0.042,2.45,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,A2BIN1,0.042,2.45,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,P11589,0.042,2.45,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q148P2,0.0337,1.57,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q792Y6,0.00666,3.17,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q545M7,0.000786,2.4,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q3TV26,0.000228,3.39,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q8K2T2,9.68e-07,4.12,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,P97352,0.0245,2.15,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,P07758,0.0173,3.05,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q0VGU4,0.0287,1.84,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q8K0C5,0.000326,3.59,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,Q80XN0,0.0201,2.83,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,P00920,0.0201,2.97,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,Q91VB8,0.0207,2.95,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,A8DUK4,0.0207,2.91,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,P04919,0.0482,2.97,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,Q5DTL5,0.0201,2.76,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,Q7TMM9,0.0205,2.34,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q9D2R0,0.000451,2.31,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,P45952,0.00109,1.7,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q8K023,0.00377,3.34,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q9DC50,0.0362,1.68,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,P57759,0.0116,1.35,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q3UXD9,0.000726,2.0,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,P47968,0.00792,1.99,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q9ET30,0.000603,1.53,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-103,Q9R059,0.000482,1.72,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-103,Q9Z204,0.0151,1.61,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-103,Q00896,0.0207,1.59,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,O08553,0.000222,2.0,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,P60843,0.0429,1.7,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,Q99N15,0.0358,1.42,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,P04370-4,0.026,2.87,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,Q91VM5,0.0108,1.67,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,P05213,0.00105,2.66,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,P99024,0.000311,2.47,spaceflight_v_ground_control,spaceflight,ground_control
