identifier,name
Q9D7Y7,2210010C04Rik
Q05117,Acp5
A0A087WS43,Adm
Q91X79,Cela1
P05208,Cela2a
Q3UP47,Cfd
Q99KN2,Ciao1
Q7TPZ8,Cpa1
P15089,Cpa3
B2RS76,Cpb1
Q9CR35,Ctrb1
Q9ER05,Ctrl
D3Z512,Dnase2a
Q80TI0-4,Gramd1b
Q91W97,Hkdc1
P18608,Hmgn1
Q920D3,Med28
Q4FZE8,Mup1
A2BIN1,Mup10
P11589,Mup2
Q91X97,Ncald
B2RRE7,Otud4
Q148P2,Oxsm
Q792Y6,Prss2
B0LAE3,Ptn
Q545M7,Pvalb
Q3TV26,Reg1
Q8K2T2,Rnase1
P97352,S100a13
P07758,Serpina1a
Q0VGU4,Vgf
Q8K0C5,Zg16
A2CF80,0610010K14Rik
A0A0J9YTR2,0610012G03Rik
H7BXB9,1700037H04Rik
Q9D927,1810009N02Rik
Q9D809,2200002D01Rik
A0A0N4SUI7,2210013O21Rik
G3X8U3,2210016F16Rik
B1AV75,2610301B20Rik
Q5U452,2810408M09Rik
Q3TUY5,5730455P16Rik
Q8BQB5,6430548M08Rik
Q0VAW6,8030462N17Rik
Q19LI2,A1bg
Q9D2R0,Aacs
Q8R2R3,Aagab
Q3UHJ0-2,Aak1
D3Z442,Aamdc
Q3TJ22,Aamp
Q8BGQ7,Aars
P61922,Abat
Q9QY30,Abcb11
B2RUR3,Abcb1b
Q61102,Abcb7
P55096,Abcd3
P61222,Abce1
Q6P542,Abcf1
Q99LE6,Abcf2
Q8K268,Abcf3
Q8K4F5,Abhd11
E9QN99,Abhd14b
Q8VD66,Abhd4
Q9DBL9,Abhd5
Q8R2Y0,Abhd6
Q8CBW3,Abi1
Q8BYZ1,Abi3
Q8K4G5,Ablim1
E9QMV2,Abracl
Q921H8,Acaa1a
Q3UKM0,Acaa1b
Q8BWT1,Acaa2
Q5SWU9,Acaca
E9Q4Z2,Acacb
Q80XL6,Acad11
D3Z7X0,Acad12
Q9D7B6,Acad8
Q8JZN5,Acad9
A0A0R4J083,Acadl
P45952,Acadm
Q07417,Acads
Q9DBL1,Acadsb
P50544,Acadvl
Q6ZQK5-2,Acap2
Q8QZT1,Acat1
Q8CAY6,Acat2
Q8BMP6,Acbd3
Q14BV7,Acbd6
Q9JIX8-4,Acin1
Q3V117,Acly
Q8VDC3,aco1
P28271,Aco1
Q99KI0,Aco2
Q8VHQ9,Acot11
Q4VA32,Acot13
Q9QYR9,Acot2
E9PYH2,Acot7
Q9R0X4,Acot9
Q9R0H0-2,Acox1
Q4VAI2,Acp1
Q3U4F3,Acp2
Q8BP40,Acp6
Q99PU5,Acsbg1
Q8VCW8,Acsf2
Q3URE1,Acsf3
P41216,Acsl1
Q91YN3,Acsl4
Q3UNX5-2,Acsm3
Q9QXG4,Acss2
Q14DH7,Acss3
P62737,Acta2
P60710,Actb
Q4KL81,Actg1
Q505L1,Actl6a
A1BN54,Actn1
O88990,Actn3
Q3ULT2,Actn4
Q8R5C5,Actr1b
Q5SW83,Actr2
Q3ULF7,Actr3
A0A0R4J050,Acy1
Q91XE4,Acy3
P56376,Acyp1
P56375,Acyp2
Q4FK28,Ada
Q60936,Adck3
Q566J8,Adck4
Q80V03,Adck5
Q8K232,Add1
Q9QYB8,Add2
Q9QYB5,Add3
G5E8Q8,Adgrf5
Q3UKA4,Adh1
P28474,Adh5
Q64437,Adh7
A0A087WRE7,Adhfe1
Q99JT9,Adi1
Q60994,Adipoq
P55264,Adk
Q9Z103,Adnp
Q6PDY2,Ado
P54923,Adprh
Q8CG72,Adprhl2
Q9JKV1,Adrm1
E9Q242,Adsl
P46664,Adss
P28650-2,Adssl1
Q640N1,Aebp1
Q920A7,Afg3l1
Q8JZQ2,Afg3l2
O89020-3,Afm
Q80WT5-2,Aftph
Q3UPL5,Ag2
Q64191,Aga
Q8VHH5,Agap3
Q8K2K6,Agfg1
Q9ESW4,Agk
F8VPN4,Agl
O35083,Agpat1
Q8K3K7,Agpat2
M0QWP1,Agrn
Q3TF14,Ahcy
Q80SW1,Ahcyl1
F8WGT1,Ahcyl2
E9Q616,Ahnak
E9PYB0,Ahnak2
Q8BK64,Ahsa1
Q3TIU3,Ahsg
Q60F90,Ahsp
A2ALV5,AI481877
E9QNR6,AI837181
Q9EQX4,Aif1l
Q9Z0X1,Aifm1
Q8BUE4,Aifm2
P31230,Aimp1
Q8R010,Aimp2
O08915,Aip
Q9R0Y5-2,Ak1
Q9WTP6-2,Ak2
Q9WTP7,Ak3
Q3UYL0,Ak4
Q9WTQ5,Akap12
A2API8,Akap2
Q059U9,Akap8
Q9R0L7,Akap8l
Q70FJ1,Akap9
Q9JII6,Akr1a1
P45376,Akr1b1
G5E895,Akr1b10
Q5M9J9,Akr1b7
P45377,Akr1b8
Q8VC28,Akr1c13
Q8K023,Akr1c18
P70694,Akr1c6
Q80W25,Akr1cl
Q8VCX1,Akr1d1
Q9DCT1,Akr1e2
Q8CG76,Akr7a2
E9QKI4,Akt1s1
Q3TY95,Akt2
P10518,Alad
Q546G4,Alb
Q54AJ5,Alcam
Q571I9,Aldh16a1
P24549,Aldh1a1
Q62148,Aldh1a2
B2RTL5,Aldh1a7
Q9CZS1,Aldh1b1
Q8R0Y6,Aldh1l1
P47738,Aldh2
P47740,Aldh3a2
Q80VQ0,Aldh3b1
E9Q3E1,Aldh3b2
Q8CHT0,Aldh4a1
Q8BWF0,Aldh5a1
Q9EQ20,Aldh6a1
Q9DBF1,Aldh7a1
Q3THE7,Aldh9a1
Q5FWB7,Aldoa
Q91Y97,Aldob
P05063,Aldoc
Q9DBE8,Alg2
Q9DB25,Alg5
Q8K1E6,Alkbh3
Q920R0,Als2
O08583,Alyref
O09174,Amacr
Q07456,Ambp
Q8JZV7,Amdhd2
Q8K371,Amotl2
Q9DBT5,Ampd2
P00688,Amy2
Q8R034,Anapc13
Q3TBG7,Ang
Q02357-3,Ank1
Q810B6,Ankfy1
E9PUR0,Ankhd1
Q99NH0,Ankrd17
Q5SUE8,Ankrd40
O35381,Anp32a
Q9EST5-2,Anp32b
P97822,Anp32e
P97449,Anpep
P10107,Anxa1
P97384,Anxa11
P07356,Anxa2
O35639,Anxa3
P97429,Anxa4
P48036,Anxa5
F8WIT2,Anxa6
Q07076,Anxa7
O70423,Aoc3
O54754,Aox1
O35643,Ap1b1
Q3UKX8,Ap1g1
P35585,Ap1m1
P61967,Ap1s1
P17426,Ap2a1
P17427,Ap2a2
Q9DBG3,Ap2b1
P84091,Ap2m1
P62743,Ap2s1
Q9Z1T1,Ap3b1
O54774,Ap3d1
Q9JKC8,Ap3m1
Q9DCR2,Ap3s1
Q8R146,Apeh
Q544Z7,Apex1
O35841,Api5
Q9WVQ5,Apip
Q9D7N9,Apmap
Q00623,Apoa1
Q8K4Z3,Apoa1bp
P09813,Apoa2
P06728,Apoa4
P34928,Apoc1
P33622,Apoc3
Q61268,Apoc4
P51910,Apod
Q3UBS0,Apoe
Q01339,Apoh
Q9DCZ4-2,Apoo
Q78IK4,Apool
Q3TVS1,App
Q8K3H0,Appl1
Q3TB15,Appl2
P08030,Aprt
Q02013,Aqp1
Q8R5G7,Arap3
Q5XJY5,Arcn1
Q8BSL7,Arf2
Q3U344,Arf3
P61750,Arf4
P84084,Arf5
Q3U0D7,Arf6
V9GWV1,Arfgap1
Q99K28-2,Arfgap2
Q9D8S3,Arfgap3
A2A5R2,Arfgef2
E9Q3G5,Arfip1
Q8K221,Arfip2
Q61176,Arg1
Q3UL36,Arglu1
Q5FWK3,Arhgap1
Q3UIA2-3,Arhgap17
Q99PT1,Arhgdia
Q61599,Arhgdib
Q61210,Arhgef1
Q8R4H2,Arhgef12
Q9ES28-4,Arhgef7
E9Q4N7,Arid1b
P61211,Arl1
Q8BIX3,Arl14ep
Q9D0J4,Arl2
Q9D385,Arl2bp
Q9WUL7,Arl3
Q80ZW9,Arl6ip1
Q9JM93,Arl6ip4
Q8VEH3,Arl8a
Q9CQW2,Arl8b
Q9D7A8,Armc1
Q9D0L7,Armc10
A0A0G2JF52,Arpc1a
Q9WV32,Arpc1b
Q9CVB6,Arpc2
Q9JM76,Arpc3
P59999,Arpc4
Q9CPW4,Arpc5
A3KGQ6,Arpc5l
Q9D0A3,Arpin
P56212,Arpp19
P50428,Arsa
A0A0R4J138,Arsb
Q91WU5,As3mt
Q9WV54,Asah1
Q7SIG6,Asap2
Q91YI0,Asl
O54984,Asna1
Q61024,Asns
Q8BSY0,Asph
A6H6K1,Aspn
Q8VBT9-3,Aspscr1
Q8C0M9,Asrgl1
Q3UEJ7,Ass1
Q9D5T0,Atad1
Q925I1,Atad3
Q3TDQ5,Atg16l1
Q9CPX6,Atg3
Q99J83,Atg5
E9Q4H7,Athl1
Q9CWJ9,Atic
Q6PA06,Atl2
E9PYT3,Atl3
O08997,Atox1
Q8VDN2,Atp1a1
Q3UHK5,Atp1a2
P14094,Atp1b1
P97370,Atp1b3
Q8R429,Atp2a1
O55143-2,Atp2a2
Q03265,Atp5a1
P56480,Atp5b
Q3UD06,Atp5c1
Q9D0J2,Atp5d
Q545F5,Atp5e
Q5I0W0,Atp5f1
Q9DCX2,Atp5h
Q06185,Atp5i
P97450,Atp5j
P56135,Atp5j2
Q9CPQ8,Atp5l
Q9DB20,Atp5o
Q9CRA7,Atp5s
Q9DCX4,Atp5sl
Q9Z1G4-3,Atp6v0a1
D3Z3B2,Atp6v0c
P51863,Atp6v0d1
P50516,Atp6v1a
P62814,Atp6v1b2
Q9Z1G3,Atp6v1c1
Q3UJH5,Atp6v1d
P50518,Atp6v1e1
Q9D1K2,Atp6v1f
Q5HZY7,Atp6v1g1
Q8BVE3,Atp6v1h
A3R404,ATP8
Q811I0,Atpaf1
A0A0R4J1C5,Atpaf2
E9PV44,Atpif1
Q61687,Atrx
P28658,Atxn10
O70305-2,Atxn2
Q7TQH0-2,Atxn2l
Q3UD01,Atxn7l3b
Q9JLZ3,Auh
Q8C1D4,AW551984
Q64726,Azgp1
P01887,B2m
Q8BHT6,B3glct
Q3UI43,Babam1
Q60739-2,Bag1
Q91YN9,Bag2
Q9JLV1,Bag3
A6H6S8,Bag4
Q8CI32,Bag5
Q9Z1R2,Bag6
Q8BKX1,Baiap2
O54962,Banf1
Q9DCT6-2,Bap18
