from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,67608,0.016441347,-0.145485596,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18053,0.032970981,-0.539511963,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66355,3.38e-07,-0.413873437,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,216527,0.013709938,-0.177758068,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11479,0.004746435,-0.368751375,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19344,0.001266992,-0.131095522,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,234847,5.52e-06,-0.307134208,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,72960,0.001919794,-0.289244848,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15401,0.037109348,-0.438314912,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,110880,0.019809225,-0.184304615,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,94218,4.67e-07,-0.424632225,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17119,0.001406776,-0.368292825,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21401,0.000576023,-0.190249191,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16170,0.029535216,-0.329986496,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,103136,0.0130464,-0.165709307,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20480,0.02386361,-0.208376216,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,93843,0.032649588,-0.505553624,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22248,0.044781089,-0.381809542,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19400,0.001149968,-0.264278453,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14007,1.32e-06,-0.252355266,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68477,0.022791032,-0.175055889,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71887,0.022512395,-0.285035983,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22776,0.001095482,-0.413570021,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,57875,0.038108514,-1.527697562,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,75751,0.037680608,-0.182752636,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13549,0.022839,-0.3311048,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68079,0.032032235,-0.194764981,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,224824,2.57e-05,-0.405050471,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21975,0.047823749,-0.187361578,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,57435,2.68e-06,-0.451530243,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,26400,0.014977872,-0.130335367,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11772,0.039604738,-0.104447174,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,73389,7.1e-08,-0.412435089,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12576,0.003751809,-0.287198153,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13710,0.003661664,-0.706579594,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20869,0.039390137,-0.140402061,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16890,0.001227763,-0.532630657,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,54610,0.02038028,-0.208241168,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,75736,0.0083172,-0.3422387,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68047,0.015883787,-0.166724566,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12348,5.03e-09,-0.733635149,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,208198,4.77e-05,-0.32283229,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,216169,0.004526691,-0.208995398,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14809,0.025177965,-0.272700773,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14132,0.010819818,-0.163801653,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68845,0.001218847,-0.199050031,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20111,0.01550677,-0.359436168,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,26371,0.001978377,-0.302815499,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19358,0.003650232,-0.189044629,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18104,0.040042923,-0.208116466,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13643,0.00371445,-0.559278572,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,217082,3.8e-05,-0.731211475,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14866,0.011211538,-0.201011338,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20850,0.003607318,-0.263226261,spaceflight_v_ground_control,spaceflight,ground_control
