from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-98,A0A087WS43,9.51e-05,-3.01,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q80TI0-4,0.0422,-1.81,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,P18608,0.0124,-1.82,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,Q91X97,0.0437,-2.36,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,B2RRE7,0.0118,-1.76,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-98,B0LAE3,0.000358,-2.51,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,P23927,0.0206,-2.98,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,O08911,0.0452,-1.72,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-105,P49813,0.0204,-2.04,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q3UEQ9,0.00158,-2.42,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q9QXD1,0.0267,-1.48,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,A0A0R4IZY2,0.0044,-1.73,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,A2ATU0,1.22e-07,-3.54,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q3T9M7,0.024,-1.39,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-102,Q61823,0.00749,-2.06,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-103,P09055,0.0138,-1.41,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,Q5DTR6,0.00219,-1.91,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,Q9DB05,1.21e-05,-2.42,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,P62869,0.0201,-1.7,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-101,P49813,1.69e-08,-2.92,spaceflight_v_ground_control,spaceflight,ground_control
