:START_ID,:END_ID,:TYPE
OSD-679_OCT_MT51_OD_End_of_Hindlimb_Unloading,MT51,PERFORMED_ON
OSD-679_OCT_MT56_OD_End_of_Hindlimb_Unloading,MT56,PERFORMED_ON
OSD-679_OCT_MT59_OD_End_of_Hindlimb_Unloading,MT59,PERFORMED_ON
OSD-679_OCT_MT51_OS_End_of_Hindlimb_Unloading,MT51,PERFORMED_ON
OSD-679_OCT_MT56_OS_End_of_Hindlimb_Unloading,MT56,PERFORMED_ON
OSD-679_OCT_MT59_OS_End_of_Hindlimb_Unloading,MT59,PERFORMED_ON
OSD-679_OCT_MT66_OD_End_of_Hindlimb_Unloading,MT66,PERFORMED_ON
OSD-679_OCT_MT70_OD_End_of_Hindlimb_Unloading,MT70,PERFORMED_ON
OSD-679_OCT_MT76_OD_End_of_Hindlimb_Unloading,MT76,PERFORMED_ON
OSD-679_OCT_MT74_OD_End_of_Hindlimb_Unloading,MT74,PERFORMED_ON
OSD-679_OCT_MT78_OD_End_of_Hindlimb_Unloading,MT78,PERFORMED_ON
OSD-679_OCT_MT80_OD_End_of_Hindlimb_Unloading,MT80,PERFORMED_ON
OSD-679_OCT_MT66_OS_End_of_Hindlimb_Unloading,MT66,PERFORMED_ON
OSD-679_OCT_MT70_OS_End_of_Hindlimb_Unloading,MT70,PERFORMED_ON
OSD-679_OCT_MT76_OS_End_of_Hindlimb_Unloading,MT76,PERFORMED_ON
OSD-679_OCT_MT74_OS_End_of_Hindlimb_Unloading,MT74,PERFORMED_ON
OSD-679_OCT_MT80_OS_End_of_Hindlimb_Unloading,MT80,PERFORMED_ON
OSD-679_OCT_MT68_OD_End_of_Hindlimb_Unloading,MT68,PERFORMED_ON
OSD-679_OCT_MT71_OD_End_of_Hindlimb_Unloading,MT71,PERFORMED_ON
OSD-679_OCT_MT73_OD_End_of_Hindlimb_Unloading,MT73,PERFORMED_ON
OSD-679_OCT_MT75_OD_End_of_Hindlimb_Unloading,MT75,PERFORMED_ON
OSD-679_OCT_MT79_OD_End_of_Hindlimb_Unloading,MT79,PERFORMED_ON
OSD-679_OCT_MT82_OD_End_of_Hindlimb_Unloading,MT82,PERFORMED_ON
OSD-679_OCT_MT68_OS_End_of_Hindlimb_Unloading,MT68,PERFORMED_ON
