identifier:ID,:LABEL,name:string,technology:string,measurement:string,timepoint:string,material_id_1:string,material_name_1:string
OSD-679_OCT_MT51_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT51_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT56_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT56_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT59_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT59_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT51_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT51_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT56_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT56_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT59_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT59_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT66_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT66_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT70_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT70_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT76_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT76_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT74_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT74_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT78_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT78_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT80_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT80_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT66_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT66_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT70_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT70_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT76_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT76_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT74_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT74_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT80_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT80_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT68_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT68_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT71_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT71_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT73_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT73_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT75_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT75_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT79_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT79_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT82_OD_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT82_OD,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004549,Right Eye
OSD-679_OCT_MT68_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT68_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT71_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT71_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT73_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT73_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT75_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT75_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
OSD-679_OCT_MT79_OS_End_of_Hindlimb_Unloading,Assay,Total Retinal Thickness assay for MT79_OS,Optical Coherence Tomography,Total Retinal Thickness,End_of_Hindlimb_Unloading,UBERON:0004548,Left Eye
