:START_ID,:END_ID,:TYPE
OSD-679_OCT_MT51_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT56_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT59_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT51_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT56_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT59_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT66_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT70_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT76_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT74_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT78_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT80_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT66_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT70_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT76_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT74_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT80_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT68_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT71_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT73_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT75_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT79_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT82_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT68_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT71_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT73_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT75_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT79_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT82_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT05_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT01_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT63_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT01_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT63_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT08_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT18_OD_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT08_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
OSD-679_OCT_MT18_OS_End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness,UBERON:0016823,MEASURES_ANATOMY
